name,ring,quadrant,isNew,description
Spring Boot,Adopt,languages & frameworks,FALSE,"<a href=""https://projects.spring.io/spring-boot/"">Spring Boot</a>makes it easy to create stand-alone, production-grade Spring based Applications that you can ""just run"". We take an opinionated view of the Spring platform and third-party libraries so you can get started with minimum fuss. Most Spring Boot applications need very little Spring configuration."
Micro frontends,Trial,techniques,TRUE,"We've seen significant benefit from introducing microservice architectures, which have allowed teams to scale delivery of independently deployed and maintained services. However, teams have often struggled to avoid the creation of front-end monoliths-large and sprawling browser applications that are as difficult to maintain and evolve as the monolithic server-side applications we've abandoned. We're seeing an approach emerge that our teams call micro frontends. In this approach, a web application is broken up by its pages and features, with each feature being owned end-to-end by a single team. Multiple techniques exist to bring the application features-some old and some new-together as a cohesive user experience, but the goal remains to allow each feature to be developed, tested and deployed independently from others. The BFF - backend for frontendsapproach works well here, with each team developing a BFF to support its set of application features."
OWASP Dependency-Check,Assess,tools,FALSE,"<a href=""https://www.owasp.org/index.php/OWASP_Dependency_Check"">Dependency-Check</a> is a utility that identifies project dependencies and checks if there are any known, publicly disclosed, vulnerabilities.  Java is supported."
React.js,Assess,languages & frameworks,TRUE,"<a href=""https://facebook.github.io/react/"">React - A JavaScript library for building user interfaces</a>"
Redux,Assess,languages & frameworks,TRUE,"With the increasing complexity of single-page JavaScript applications, we have seen a more pressing need to make client-side state management predictable. <a href=""http://redux.js.org/""><strong>Redux</strong></a>, with its <a href=""http://redux.js.org/docs/introduction/ThreePrinciples.html"">three principles</a> of restrictions for updating state, has proven to be invaluable in a number of projects we have implemented. <a href=""https://egghead.io/courses/getting-started-with-redux"">Getting Started with Redux</a> and <a href=""https://egghead.io/courses/building-react-applications-with-idiomatic-redux"">idiomatic Redux</a> tutorials are a good starting point for new and experienced users. Its minimal library design has spawned a rich set of tools, and we encourage you to check out the <a href=""https://github.com/markerikson/redux-ecosystem-links"">redux-ecosystem-links</a> project for examples, middleware and utility libraries. We also particularly like the testability story: Dispatching actions, state transitions and rendering can be unit-tested separately from one another and with minimal amounts of mocking."
Angular,Adopt,languages & frameworks,FALSE,"We put <a href=""/radar/languages-and-frameworks/angularjs"">AngularJS</a> into the Hold ring.  We are Adopting Angular which is a rewrite, not an evolution, of AngularJS, and switching from AngularJS to Angular is not much different than switching from AngularJS to another framework.  Given the, in our experience, superior contenders such as <a href=""/radar/languages-and-frameworks/react-js"">React.js</a>, <a href=""/radar/languages-and-frameworks/ember-js"">Ember.js</a> and <a href=""/radar/languages-and-frameworks/vue-js"">Vue.js</a>, we're still hesitant to give Angular a strong recommendation. It is not a bad choice, especially if using TypeScript."
Micro services,Adopt,techniques,FALSE,"We are seeing an uptick in adoption of microservices as a technique for distributed system design, both in ThoughtWorks and in the wider community. Frameworks such as Dropwizard and practices like declarative provisioning point to a maturing of the technologies and tools. Avoiding the usual monolithic approach and being sympathetic to the need to replace parts of systems individually has important positive implications for the total cost of ownership of systems. We see this as having greatest impact in the mid-to-long term, specifically with respect to the two-to-five year rewrite cycle."
Open JDK 11/12 ,Adopt,languages & frameworks,TRUE,"<a href=""http://www.oracle.com/technetwork/java/javase/downloads/jre7-downloads-1880261.html"">Java 6</a> is no longer current."
Jenkins,Adopt,tools,FALSE,"<a href=""https://jenkins.io/"">Jenkins</a> is an open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project."
TypeScript,Adopt,languages & frameworks,FALSE,"<a href=""https://www.typescriptlang.org/"">TypeScript</a> is an interesting approach to bringing a new programming language to the browser. With TypeScript, the new language features compile down to normal JavaScript, and yet as a superset of JavaScript it does not feel like a completely new language. It does not represent an either-or proposition and it does not relegate JavaScript to an intermediate execution platform. Many of the language features are based on planned future extensions of JavaScript."
